Producto,Mercado,Week_Start_Date,Latitude,Longitude,Precio_Unidad
Cebolla,Agrícola del Norte S.A. de Arica,2019-01-14,-18.499523817239574,-70.28420073026261,248.96666666666664
Cebolla,Agrícola del Norte S.A. de Arica,2019-01-21,-18.499523817239574,-70.28420073026261,208.33333333333331
Cebolla,Agrícola del Norte S.A. de Arica,2019-01-28,-18.499523817239574,-70.28420073026261,267.3611111111111
Cebolla,Agrícola del Norte S.A. de Arica,2019-02-04,-18.499523817239574,-70.28420073026261,309.25925925925924
Cebolla,Agrícola del Norte S.A. de Arica,2019-02-11,-18.499523817239574,-70.28420073026261,247.58333333333331
Cebolla,Agrícola del Norte S.A. de Arica,2019-02-18,-18.499523817239574,-70.28420073026261,266.1111111111111
Cebolla,Agrícola del Norte S.A. de Arica,2019-02-25,-18.499523817239574,-70.28420073026261,244.00793650793653
Cebolla,Agrícola del Norte S.A. de Arica,2019-03-04,-18.499523817239574,-70.28420073026261,250.71296296296296
Cebolla,Agrícola del Norte S.A. de Arica,2019-03-11,-18.499523817239574,-70.28420073026261,308.2962962962963
Cebolla,Agrícola del Norte S.A. de Arica,2019-03-18,-18.499523817239574,-70.28420073026261,343.55555555555554
Cebolla,Agrícola del Norte S.A. de Arica,2019-03-25,-18.499523817239574,-70.28420073026261,296.962962962963
Cebolla,Agrícola del Norte S.A. de Arica,2019-04-01,-18.499523817239574,-70.28420073026261,314.03333333333336
Cebolla,Agrícola del Norte S.A. de Arica,2019-04-08,-18.499523817239574,-70.28420073026261,263.8891111111111
Cebolla,Agrícola del Norte S.A. de Arica,2019-04-29,-18.499523817239574,-70.28420073026261,416.6666
Cebolla,Agrícola del Norte S.A. de Arica,2019-05-06,-18.499523817239574,-70.28420073026261,291.6663555555555
Cebolla,Agrícola del Norte S.A. de Arica,2019-05-27,-18.499523817239574,-70.28420073026261,390.6111111111111
Cebolla,Agrícola del Norte S.A. de Arica,2019-06-03,-18.499523817239574,-70.28420073026261,263.8888888888889
Cebolla,Agrícola del Norte S.A. de Arica,2019-06-10,-18.499523817239574,-70.28420073026261,402.77777777777777
Cebolla,Agrícola del Norte S.A. de Arica,2019-06-17,-18.499523817239574,-70.28420073026261,389.8888888888889
Cebolla,Agrícola del Norte S.A. de Arica,2019-07-01,-18.499523817239574,-70.28420073026261,402.77777777777777
Cebolla,Agrícola del Norte S.A. de Arica,2019-07-08,-18.499523817239574,-70.28420073026261,416.6666666666667
Cebolla,Agrícola del Norte S.A. de Arica,2019-07-22,-18.499523817239574,-70.28420073026261,285.3333333333333
