Variedad	Mercado	Unidad	Dia	Volumen
Pink Lady	Vega Central Mapocho de Santiago	Bin (400 kilos)	Jueves	0
Richared Delicious	Vega Modelo de Temuco	Bin (400 kilos)	Jueves	3
Royal Gala	Mercado Mayorista Lo Valledor de Santiago	Bin (400 kilos)	Jueves	0
Royal Gala	Terminal La Palmera de La Serena	Bin (400 kilos)	Jueves	10
Royal Gala	Vega Modelo de Temuco	Bin (400 kilos)	Jueves	5
Scarlett	Mercado Mayorista Lo Valledor de Santiago	Bin (400 kilos)	Jueves	0
Granny Smith	Macroferia Regional de Talca	Bandeja 15 kilos granel	Jueves	280
Granny Smith	Vega Modelo de Temuco	Bandeja 15 kilos granel	Jueves	300
Pink Lady	Macroferia Regional de Talca	Bandeja 15 kilos granel	Jueves	300
Pink Lady	Vega Modelo de Temuco	Bandeja 15 kilos granel	Jueves	0
Richared Delicious	Vega Modelo de Temuco	Bandeja 15 kilos granel	Jueves	0
Royal Gala	Macroferia Regional de Talca	Bandeja 15 kilos granel	Jueves	200
Fuji	Mercado Mayorista Lo Valledor de Santiago	Bin (400 kilos)	Viernes	30
Fuji	Terminal La Palmera de La Serena	Bin (400 kilos)	Viernes	20
Fuji	Vega Central Mapocho de Santiago	Bin (400 kilos)	Viernes	20
Fuji	Vega Modelo de Temuco	Bin (400 kilos)	Viernes	3
Granny Smith	Mercado Mayorista Lo Valledor de Santiago	Bin (400 kilos)	Viernes	31
Granny Smith	Terminal La Palmera de La Serena	Bin (400 kilos)	Viernes	20
Granny Smith	Vega Central Mapocho de Santiago	Bin (400 kilos)	Viernes	14
Granny Smith	Vega Modelo de Temuco	Bin (400 kilos)	Viernes	2
Pink Lady	Mercado Mayorista Lo Valledor de Santiago	Bin (400 kilos)	Viernes	30
Pink Lady	Terminal La Palmera de La Serena	Bin (400 kilos)	Viernes	20
Pink Lady	Vega Central Mapocho de Santiago	Bin (400 kilos)	Viernes	0
Richared Delicious	Vega Modelo de Temuco	Bin (400 kilos)	Viernes	0
Royal Gala	Mercado Mayorista Lo Valledor de Santiago	Bin (400 kilos)	Viernes	0
Royal Gala	Terminal La Palmera de La Serena	Bin (400 kilos)	Viernes	0
Royal Gala	Vega Modelo de Temuco	Bin (400 kilos)	Viernes	3
Scarlett	Mercado Mayorista Lo Valledor de Santiago	Bin (400 kilos)	Viernes	0
Granny Smith	Macroferia Regional de Talca	Bandeja 15 kilos granel	Viernes	320
Granny Smith	Vega Modelo de Temuco	Bandeja 15 kilos granel	Viernes	250
Pink Lady	Macroferia Regional de Talca	Bandeja 15 kilos granel	Viernes	290
Pink Lady	Vega Modelo de Temuco	Bandeja 15 kilos granel	Viernes	0
Richared Delicious	Vega Modelo de Temuco	Bandeja 15 kilos granel	Viernes	0
Royal Gala	Macroferia Regional de Talca	Bandeja 15 kilos granel	Viernes	310
